subject_ids,Transient,Asteroid,Variable star,Junk,Weird thing/Not sure,filename,aggregated_tags
105785535,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd3_cut12_object355_event1of1.png,
105785540,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd2_cut11_object5081_event1of2.png,
105785554,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,Sec30_cam3_ccd2_cut16_object3719_event1of2.png,
105785559,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd2_cut16_object6543_event1of1.png,
105785579,1.0,0.0,0.0,0.0,0.0,Sec28_cam4_ccd1_cut16_object1142_event1of2.png,
105785588,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd2_cut4_object3588_event1of1.png,
105785593,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut4_object1670_event1of2.png,
105785596,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut4_object1362_event1of1.png,
105785601,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd4_cut8_object3896_event1of2.png,
105785605,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd3_cut6_object4949_event1of1.png,
105785607,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd4_cut6_object2938_event1of1.png,
105785613,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd3_cut16_object6428_event1of1.png,
105785614,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd4_cut16_object738_event1of1.png,
105785616,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd3_cut2_object1075_event3of3.png,
105785618,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd2_cut6_object1387_event1of2.png,
105785626,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd3_cut15_object7685_event2of2.png,
105785630,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd3_cut16_object1942_event1of2.png,"burst, flare"
105785633,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd2_cut10_object1227_event1of1.png,
105785635,1.0,0.0,0.0,0.0,0.0,Sec31_cam4_ccd1_cut7_object4136_event1of1.png,"burst, flare"
105785637,1.0,0.0,0.0,0.0,0.0,Sec28_cam3_ccd3_cut5_object4080_event1of1.png,
105785640,1.0,0.0,0.0,0.0,0.0,Sec29_cam4_ccd1_cut12_object4336_event1of1.png,
105785642,1.0,0.0,0.0,0.0,0.0,Sec29_cam3_ccd3_cut3_object694_event1of1.png,
105785649,1.0,0.0,0.0,0.0,0.0,Sec30_cam4_ccd1_cut5_object2841_event1of1.png,
105785661,1.0,0.0,0.0,0.0,0.0,Sec28_cam4_ccd4_cut9_object483_event10of24.png,
105785671,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd2_cut14_object1851_event2of2.png,
105785683,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,Sec30_cam3_ccd4_cut11_object6240_event1of1.png,
105785692,1.0,0.0,0.0,0.0,0.0,Sec31_cam3_ccd4_cut12_object5869_event1of1.png,
105785701,1.0,0.0,0.0,0.0,0.0,Sec35_cam4_ccd2_cut16_object4781_event1of1.png,
105785730,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd2_cut3_object4416_event1of1.png,
105785733,1.0,0.0,0.0,0.0,0.0,Sec30_cam3_ccd1_cut14_object2000_event1of3.png,
